ts,link,packet_loss_pct,latency_ms,jitter_ms,upstream_mbps,downstream_mbps
2026-08-27T17:00:00Z,WAN1,0.33,13.4,3.2,111.9,157.3
2026-08-27T17:00:00Z,WAN2,0.18,20.0,1.3,31.8,256.2
2026-08-27T17:05:00Z,WAN1,0.06,24.3,2.9,108.5,235.0
2026-08-27T17:05:00Z,WAN2,0.01,17.0,3.1,109.3,128.1
2026-08-27T17:10:00Z,WAN1,0.06,11.6,3.3,94.0,113.1
2026-08-27T17:10:00Z,WAN2,0.16,21.1,3.7,74.5,246.1
2026-08-27T17:15:00Z,WAN1,0.02,20.7,3.5,117.4,230.9
2026-08-27T17:15:00Z,WAN2,0.04,10.3,1.5,116.7,285.5
2026-08-27T17:20:00Z,WAN1,0.26,13.4,4.2,100.4,51.1
2026-08-27T17:20:00Z,WAN2,0.36,13.0,4.4,74.0,104.6
2026-08-27T17:25:00Z,WAN1,0.03,24.6,4.8,39.5,273.5
2026-08-27T17:25:00Z,WAN2,0.17,22.6,3.7,96.5,162.4
2026-08-27T17:30:00Z,WAN1,0.31,21.4,4.6,86.2,292.8
2026-08-27T17:30:00Z,WAN2,0.28,20.7,3.9,47.1,176.7
2026-08-27T17:35:00Z,WAN1,0.11,13.1,4.0,110.3,260.4
2026-08-27T17:35:00Z,WAN2,0.14,16.4,5.7,52.9,219.0
2026-08-27T17:40:00Z,WAN1,0.02,14.9,5.8,94.5,233.9
2026-08-27T17:40:00Z,WAN2,0.1,12.5,4.5,95.6,234.3
2026-08-27T17:45:00Z,WAN1,0.29,13.0,1.7,97.9,197.9
2026-08-27T17:45:00Z,WAN2,0.29,18.7,1.7,35.5,64.1
2026-08-27T17:50:00Z,WAN1,0.35,13.3,3.6,34.2,100.8
2026-08-27T17:50:00Z,WAN2,0.03,20.4,1.9,42.2,235.8
2026-08-27T17:55:00Z,WAN1,0.23,17.0,4.5,36.5,270.6
2026-08-27T17:55:00Z,WAN2,0.17,14.2,2.0,30.5,257.9
2026-08-27T18:00:00Z,WAN1,0.39,16.3,1.5,46.5,254.5
2026-08-27T18:00:00Z,WAN2,0.18,17.1,3.9,88.5,214.9
2026-08-27T18:05:00Z,WAN1,0.1,23.3,1.6,53.7,242.7
2026-08-27T18:05:00Z,WAN2,0.1,16.2,2.6,37.4,263.2
2026-08-27T18:10:00Z,WAN1,0.22,20.4,4.6,26.5,296.2
2026-08-27T18:10:00Z,WAN2,0.3,17.4,3.5,71.5,116.0
2026-08-27T18:15:00Z,WAN1,0.21,13.6,1.9,46.5,208.2
2026-08-27T18:15:00Z,WAN2,0.09,11.4,5.6,64.3,187.1
2026-08-27T18:20:00Z,WAN1,0.35,20.1,5.4,117.8,99.5
2026-08-27T18:20:00Z,WAN2,0.28,15.6,4.0,29.7,95.8
2026-08-27T18:25:00Z,WAN1,0.13,19.8,4.8,117.6,68.7
2026-08-27T18:25:00Z,WAN2,0.28,9.9,4.7,26.1,275.8
2026-08-27T18:30:00Z,WAN1,0.31,22.2,4.3,43.5,232.7
2026-08-27T18:30:00Z,WAN2,0.36,18.4,2.4,46.4,230.9
2026-08-27T18:35:00Z,WAN1,0.1,18.0,1.7,87.9,272.9
2026-08-27T18:35:00Z,WAN2,0.14,24.6,1.1,70.8,235.7
2026-08-27T18:40:00Z,WAN1,0.06,10.8,3.4,23.0,141.7
2026-08-27T18:40:00Z,WAN2,0.34,19.9,6.0,21.8,85.0
2026-08-27T18:45:00Z,WAN1,0.23,23.6,5.7,43.8,170.8
2026-08-27T18:45:00Z,WAN2,0.33,8.2,4.7,31.4,170.2
2026-08-27T18:50:00Z,WAN1,0.13,23.2,1.2,66.7,191.2
2026-08-27T18:50:00Z,WAN2,0.11,16.5,4.6,117.2,287.0
2026-08-27T18:55:00Z,WAN1,0.01,23.1,2.3,40.9,292.4
2026-08-27T18:55:00Z,WAN2,0.2,14.4,3.3,47.2,100.0
2026-08-27T19:00:00Z,WAN1,0.09,17.0,4.9,116.6,224.9
2026-08-27T19:00:00Z,WAN2,0.09,15.7,1.5,107.6,152.1
2026-08-27T19:05:00Z,WAN1,0.12,22.4,1.6,61.2,188.0
2026-08-27T19:05:00Z,WAN2,0.27,18.7,4.3,92.3,115.3
2026-08-27T19:10:00Z,WAN1,0.23,14.8,2.0,32.8,78.9
2026-08-27T19:10:00Z,WAN2,0.04,15.0,4.3,93.6,156.9
2026-08-27T19:15:00Z,WAN1,0.26,24.5,1.5,48.2,139.9
2026-08-27T19:15:00Z,WAN2,0.11,23.8,1.0,72.2,86.2
2026-08-27T19:20:00Z,WAN1,0.08,15.1,5.4,79.8,210.1
2026-08-27T19:20:00Z,WAN2,0.12,18.1,2.3,25.6,130.8
2026-08-27T19:25:00Z,WAN1,0.02,21.4,4.4,117.1,295.9
2026-08-27T19:25:00Z,WAN2,0.32,22.4,1.1,74.9,268.7
2026-08-27T19:30:00Z,WAN1,0.14,17.5,3.9,76.4,189.0
2026-08-27T19:30:00Z,WAN2,0.01,9.5,5.4,68.1,158.9
2026-08-27T19:35:00Z,WAN1,0.1,8.2,4.9,50.9,236.3
2026-08-27T19:35:00Z,WAN2,0.13,19.9,5.2,107.9,228.9
2026-08-27T19:40:00Z,WAN1,0.15,19.7,4.7,47.8,154.6
2026-08-27T19:40:00Z,WAN2,0.32,9.3,2.3,38.4,296.5
2026-08-27T19:45:00Z,WAN1,0.09,22.7,3.3,75.1,222.2
2026-08-27T19:45:00Z,WAN2,0.24,23.6,5.5,96.4,158.9
2026-08-27T19:50:00Z,WAN1,0.01,23.1,5.4,27.8,78.0
2026-08-27T19:50:00Z,WAN2,0.35,12.6,4.5,109.4,217.4
2026-08-27T19:55:00Z,WAN1,0.12,21.1,5.8,50.6,245.5
2026-08-27T19:55:00Z,WAN2,0.18,17.7,4.0,92.8,293.3
2026-08-27T20:00:00Z,WAN1,0.11,18.3,4.3,58.2,285.0
2026-08-27T20:00:00Z,WAN2,0.15,20.0,1.5,87.6,259.2
2026-08-27T20:05:00Z,WAN1,0.06,24.3,2.7,39.2,146.4
2026-08-27T20:05:00Z,WAN2,0.2,19.6,2.3,62.1,204.4
2026-08-27T20:10:00Z,WAN1,0.11,22.6,2.4,75.5,80.6
2026-08-27T20:10:00Z,WAN2,0.38,9.1,4.4,113.7,91.7
2026-08-27T20:15:00Z,WAN1,0.17,13.6,3.8,46.7,145.5
2026-08-27T20:15:00Z,WAN2,0.09,11.4,5.6,102.0,239.2
2026-08-27T20:20:00Z,WAN1,0.26,8.6,1.1,83.0,182.9
2026-08-27T20:20:00Z,WAN2,0.0,14.8,3.0,45.1,53.7
2026-08-27T20:25:00Z,WAN1,0.17,15.9,1.6,45.9,246.7
2026-08-27T20:25:00Z,WAN2,0.23,20.1,3.7,118.1,297.2
2026-08-27T20:30:00Z,WAN1,0.38,21.5,1.3,113.8,222.5
2026-08-27T20:30:00Z,WAN2,0.05,15.4,4.6,31.6,185.8
2026-08-27T20:35:00Z,WAN1,0.04,14.5,5.5,90.2,269.2
2026-08-27T20:35:00Z,WAN2,0.18,10.6,2.6,41.2,232.1
2026-08-27T20:40:00Z,WAN1,0.36,21.4,1.5,89.7,187.2
2026-08-27T20:40:00Z,WAN2,0.34,11.5,3.9,73.0,154.6
2026-08-27T20:45:00Z,WAN1,0.14,20.1,3.6,96.5,110.6
2026-08-27T20:45:00Z,WAN2,0.14,18.7,1.1,114.0,261.6
2026-08-27T20:50:00Z,WAN1,0.12,18.2,5.1,68.1,183.0
2026-08-27T20:50:00Z,WAN2,0.18,18.2,4.6,37.3,62.2
2026-08-27T20:55:00Z,WAN1,0.05,13.8,2.9,61.8,41.5
2026-08-27T20:55:00Z,WAN2,0.11,15.9,5.6,37.4,88.1
2026-08-27T21:00:00Z,WAN1,0.36,16.0,1.5,68.9,83.8
2026-08-27T21:00:00Z,WAN2,0.12,10.3,6.0,76.2,173.5
2026-08-27T21:05:00Z,WAN1,0.11,11.9,3.8,50.1,280.0
2026-08-27T21:05:00Z,WAN2,0.35,12.9,5.7,110.1,266.8
2026-08-27T21:10:00Z,WAN1,0.18,21.5,5.3,29.7,150.5
2026-08-27T21:10:00Z,WAN2,0.15,24.5,5.3,117.5,281.2
2026-08-27T21:15:00Z,WAN1,0.34,23.8,4.4,70.2,125.9
2026-08-27T21:15:00Z,WAN2,0.2,12.0,1.9,69.8,135.1
2026-08-27T21:20:00Z,WAN1,0.07,14.8,2.6,62.2,122.2
2026-08-27T21:20:00Z,WAN2,0.26,21.7,2.7,81.7,237.2
2026-08-27T21:25:00Z,WAN1,0.38,23.9,5.4,40.7,124.4
2026-08-27T21:25:00Z,WAN2,0.2,8.8,5.8,56.4,229.9
2026-08-27T21:30:00Z,WAN1,0.36,16.9,3.2,115.1,136.0
2026-08-27T21:30:00Z,WAN2,0.1,15.5,3.4,116.1,187.7
2026-08-27T21:35:00Z,WAN1,0.09,15.0,4.9,74.9,203.2
2026-08-27T21:35:00Z,WAN2,0.05,22.8,4.3,68.1,200.5
2026-08-27T21:40:00Z,WAN1,0.15,11.3,4.8,30.8,121.7
2026-08-27T21:40:00Z,WAN2,0.04,19.7,2.7,102.0,87.7
2026-08-27T21:45:00Z,WAN1,0.21,16.5,1.3,35.9,192.4
