ts,link,packet_loss_pct,latency_ms,jitter_ms,upstream_mbps,downstream_mbps
2026-08-27T17:00:00Z,WAN1,0.19,17.4,2.7,84.0,245.9
2026-08-27T17:00:00Z,WAN2,0.33,8.3,5.8,78.0,214.1
2026-08-27T17:05:00Z,WAN1,0.34,10.9,3.6,117.7,287.0
2026-08-27T17:05:00Z,WAN2,0.21,24.7,5.9,34.2,183.3
2026-08-27T17:10:00Z,WAN1,0.34,24.0,4.4,26.6,105.1
2026-08-27T17:10:00Z,WAN2,0.14,8.2,2.3,96.9,46.3
2026-08-27T17:15:00Z,WAN1,0.26,22.7,3.7,66.9,57.3
2026-08-27T17:15:00Z,WAN2,0.15,14.8,4.8,62.0,209.3
2026-08-27T17:20:00Z,WAN1,0.3,21.0,4.9,50.7,40.4
2026-08-27T17:20:00Z,WAN2,0.32,8.9,2.7,93.8,177.2
2026-08-27T17:25:00Z,WAN1,0.02,24.7,5.4,23.3,248.1
2026-08-27T17:25:00Z,WAN2,0.3,19.5,2.1,43.4,266.1
2026-08-27T17:30:00Z,WAN1,0.2,15.8,1.8,105.5,72.4
2026-08-27T17:30:00Z,WAN2,0.26,15.5,4.5,118.5,258.7
2026-08-27T17:35:00Z,WAN1,0.21,16.5,5.9,81.8,127.9
2026-08-27T17:35:00Z,WAN2,0.24,14.3,3.3,70.3,198.8
2026-08-27T17:40:00Z,WAN1,0.23,19.3,5.9,106.6,238.5
2026-08-27T17:40:00Z,WAN2,0.02,11.9,2.6,33.7,83.7
2026-08-27T17:45:00Z,WAN1,0.18,19.3,1.1,40.4,63.0
2026-08-27T17:45:00Z,WAN2,0.02,14.3,5.3,79.8,93.9
2026-08-27T17:50:00Z,WAN1,0.22,10.5,1.7,83.5,63.6
2026-08-27T17:50:00Z,WAN2,0.32,24.1,4.7,86.5,277.2
2026-08-27T17:55:00Z,WAN1,0.22,21.0,1.3,53.0,144.9
2026-08-27T17:55:00Z,WAN2,0.01,20.5,2.2,84.8,240.6
