ts,link,packet_loss_pct,latency_ms,jitter_ms,upstream_mbps,downstream_mbps
2026-08-27T17:00:00Z,WAN1,0.24,43.0,1.5,33.0,261.6
2026-08-27T17:05:00Z,WAN1,0.37,33.8,1.7,45.7,274.1
2026-08-27T17:10:00Z,WAN1,0.24,34.6,2.7,72.6,171.0
2026-08-27T17:15:00Z,WAN1,0.19,30.6,2.6,102.0,261.1
2026-08-27T17:20:00Z,WAN1,0.34,39.8,5.3,62.8,107.6
2026-08-27T17:25:00Z,WAN1,0.24,40.8,2.3,111.3,58.9
2026-08-27T17:30:00Z,WAN1,0.06,36.3,4.9,115.8,53.6
2026-08-27T17:35:00Z,WAN1,0.19,38.4,5.4,30.9,133.0
2026-08-27T17:40:00Z,WAN1,0.21,35.1,1.9,56.4,217.7
2026-08-27T17:45:00Z,WAN1,0.3,34.2,2.0,109.5,242.1
2026-08-27T17:50:00Z,WAN1,0.14,36.2,3.4,41.3,79.7
2026-08-27T17:55:00Z,WAN1,0.17,36.3,2.2,27.0,227.5
2026-08-27T18:00:00Z,WAN1,0.3,35.6,3.9,38.6,160.8
2026-08-27T18:05:00Z,WAN1,0.13,30.1,1.7,94.8,107.8
2026-08-27T18:10:00Z,WAN1,0.05,41.1,5.3,113.3,135.3
2026-08-27T18:15:00Z,WAN1,0.28,30.7,2.1,40.6,183.2
2026-08-27T18:20:00Z,WAN1,0.32,31.4,5.4,22.2,260.5
2026-08-27T18:25:00Z,WAN1,0.2,43.0,2.6,75.6,40.7
2026-08-27T18:30:00Z,WAN1,0.01,31.6,2.8,63.0,275.2
2026-08-27T18:35:00Z,WAN1,0.07,41.0,4.8,39.7,126.5
2026-08-27T18:40:00Z,WAN1,0.22,35.2,1.9,67.1,282.6
2026-08-27T18:45:00Z,WAN1,0.19,38.2,2.0,47.0,58.8
2026-08-27T18:50:00Z,WAN1,0.22,31.5,1.7,97.2,230.6
2026-08-27T18:55:00Z,WAN1,0.39,38.2,3.6,26.6,53.3
2026-08-27T19:00:00Z,WAN1,0.24,43.4,6.0,115.6,127.7
2026-08-27T19:05:00Z,WAN1,0.29,43.3,2.6,97.0,171.0
2026-08-27T19:10:00Z,WAN1,0.35,42.3,4.5,30.4,203.4
2026-08-27T19:15:00Z,WAN1,0.03,32.6,1.2,38.7,91.2
2026-08-27T19:20:00Z,WAN1,0.16,36.0,5.5,61.2,235.5
2026-08-27T19:25:00Z,WAN1,0.02,37.5,4.3,36.2,181.3
2026-08-27T19:30:00Z,WAN1,0.18,42.6,3.5,49.5,171.5
2026-08-27T19:35:00Z,WAN1,0.29,32.8,2.6,114.0,157.4
2026-08-27T19:40:00Z,WAN1,0.29,41.7,2.8,31.2,115.5
2026-08-27T19:45:00Z,WAN1,0.36,32.3,3.9,96.3,287.0
2026-08-27T19:50:00Z,WAN1,0.33,43.7,5.0,104.9,157.7
2026-08-27T19:55:00Z,WAN1,0.03,43.5,2.2,37.1,278.2
2026-08-27T20:00:00Z,WAN1,0.21,40.7,5.5,50.0,75.1
2026-08-27T20:05:00Z,WAN1,0.18,32.6,2.6,78.4,48.6
2026-08-27T20:10:00Z,WAN1,0.16,40.6,3.8,98.6,96.1
2026-08-27T20:15:00Z,WAN1,0.11,37.9,2.8,113.5,295.6
2026-08-27T20:20:00Z,WAN1,0.18,39.4,1.9,48.9,250.8
2026-08-27T20:25:00Z,WAN1,0.29,44.7,3.2,58.9,188.5
2026-08-27T20:30:00Z,WAN1,0.13,43.4,1.5,91.6,274.7
2026-08-27T20:35:00Z,WAN1,0.24,33.8,4.2,76.3,85.6
2026-08-27T20:40:00Z,WAN1,0.28,41.2,4.4,109.8,55.8
2026-08-27T20:45:00Z,WAN1,0.29,36.6,5.2,94.1,140.5
2026-08-27T20:50:00Z,WAN1,0.15,39.9,1.6,76.5,195.6
2026-08-27T20:55:00Z,WAN1,0.21,41.0,3.1,67.2,74.5
2026-08-27T21:00:00Z,WAN1,0.07,39.5,3.6,21.4,193.2
2026-08-27T21:05:00Z,WAN1,0.35,34.9,5.6,71.4,81.4
2026-08-27T21:10:00Z,WAN1,0.29,35.5,4.7,118.3,288.2
2026-08-27T21:15:00Z,WAN1,0.37,34.3,1.8,110.9,218.3
2026-08-27T21:20:00Z,WAN1,0.1,37.4,5.9,46.4,64.9
2026-08-27T21:25:00Z,WAN1,0.09,44.7,1.4,23.4,271.6
2026-08-27T21:30:00Z,WAN1,0.03,35.9,1.3,33.2,44.4
2026-08-27T21:35:00Z,WAN1,0.38,37.6,3.2,34.3,247.2
2026-08-27T21:40:00Z,WAN1,0.07,37.0,2.2,102.0,293.8
2026-08-27T21:45:00Z,WAN1,0.04,32.5,5.5,96.1,42.7
2026-08-27T21:50:00Z,WAN1,0.07,31.3,1.7,79.7,107.7
2026-08-27T21:55:00Z,WAN1,0.18,35.3,2.5,107.2,99.2
2026-08-27T22:00:00Z,WAN1,0.04,40.6,2.6,43.2,126.4
2026-08-27T22:05:00Z,WAN1,0.06,30.3,1.5,98.2,41.8
2026-08-27T22:10:00Z,WAN1,0.01,37.9,2.4,42.7,95.0
2026-08-27T22:15:00Z,WAN1,0.24,33.4,4.1,68.8,79.1
2026-08-27T22:20:00Z,WAN1,0.28,32.0,2.4,79.1,260.1
2026-08-27T22:25:00Z,WAN1,0.06,43.1,1.8,108.8,142.0
2026-08-27T22:30:00Z,WAN1,0.26,34.9,2.9,69.6,140.7
2026-08-27T22:35:00Z,WAN1,0.12,42.9,3.2,48.8,199.8
2026-08-27T22:40:00Z,WAN1,0.1,35.4,2.8,88.4,123.4
2026-08-27T22:45:00Z,WAN1,0.06,35.5,4.6,66.2,70.6
2026-08-27T22:50:00Z,WAN1,0.38,32.5,1.2,100.1,44.9
2026-08-27T22:55:00Z,WAN1,0.24,44.6,4.1,83.3,61.9
2026-08-27T23:00:00Z,WAN1,0.38,32.6,3.8,106.2,82.9
2026-08-27T23:05:00Z,WAN1,0.31,38.8,3.1,82.5,133.6
2026-08-27T23:10:00Z,WAN1,0.05,40.6,4.7,73.1,252.3
2026-08-27T23:15:00Z,WAN1,0.38,39.3,2.1,37.3,144.6
2026-08-27T23:20:00Z,WAN1,0.02,36.4,1.4,45.8,243.9
2026-08-27T23:25:00Z,WAN1,0.38,43.3,4.4,94.5,240.1
2026-08-27T23:30:00Z,WAN1,0.3,42.4,1.1,87.7,98.1
2026-08-27T23:35:00Z,WAN1,0.22,37.9,5.1,21.3,267.0
2026-08-27T23:40:00Z,WAN1,0.39,42.0,4.1,112.0,172.1
2026-08-27T23:45:00Z,WAN1,0.23,32.9,2.5,42.7,45.6
2026-08-27T23:50:00Z,WAN1,0.11,32.2,3.2,91.5,115.9
2026-08-27T23:55:00Z,WAN1,0.1,45.0,4.6,79.5,279.6
2026-08-28T00:00:00Z,WAN1,0.24,31.1,2.2,45.9,174.0
2026-08-28T00:05:00Z,WAN1,0.17,35.9,5.3,62.9,155.9
2026-08-28T00:10:00Z,WAN1,0.22,40.5,4.8,71.5,246.3
2026-08-28T00:15:00Z,WAN1,0.05,32.6,1.5,80.3,243.4
2026-08-28T00:20:00Z,WAN1,0.1,44.8,4.8,91.2,266.4
2026-08-28T00:25:00Z,WAN1,0.23,42.9,3.0,116.0,223.6
2026-08-28T00:30:00Z,WAN1,0.32,34.5,3.3,80.7,190.7
2026-08-28T00:35:00Z,WAN1,0.06,38.1,4.8,34.9,299.4
2026-08-28T00:40:00Z,WAN1,0.16,30.1,2.1,40.7,157.0
2026-08-28T00:45:00Z,WAN1,0.17,40.7,5.6,50.6,227.0
2026-08-28T00:50:00Z,WAN1,0.38,34.7,1.6,97.0,57.0
2026-08-28T00:55:00Z,WAN1,0.15,41.1,3.8,91.9,175.9
2026-08-28T01:00:00Z,WAN1,0.17,33.7,5.6,100.6,244.1
2026-08-28T01:05:00Z,WAN1,0.17,31.1,2.4,86.3,94.2
2026-08-28T01:10:00Z,WAN1,0.27,36.0,2.8,59.9,232.2
2026-08-28T01:15:00Z,WAN1,0.32,33.8,3.2,97.8,155.0
2026-08-28T01:20:00Z,WAN1,0.23,34.3,2.0,62.5,160.3
2026-08-28T01:25:00Z,WAN1,0.09,32.2,2.8,61.2,243.2
2026-08-28T01:30:00Z,WAN1,0.29,40.5,3.1,38.8,123.8
2026-08-28T01:35:00Z,WAN1,0.23,38.2,3.9,43.0,86.4
2026-08-28T01:40:00Z,WAN1,0.26,42.8,4.3,116.8,204.9
2026-08-28T01:45:00Z,WAN1,0.11,40.6,3.1,111.4,137.6
2026-08-28T01:50:00Z,WAN1,0.03,37.9,3.8,33.4,206.5
2026-08-28T01:55:00Z,WAN1,0.04,43.2,5.5,30.5,78.1
2026-08-28T02:00:00Z,WAN1,0.27,30.2,1.6,119.0,121.4
2026-08-28T02:05:00Z,WAN1,0.02,40.4,3.6,51.2,252.4
2026-08-28T02:10:00Z,WAN1,0.18,31.3,4.5,38.8,246.6
2026-08-28T02:15:00Z,WAN1,0.02,32.5,3.0,100.0,158.8
2026-08-28T02:20:00Z,WAN1,0.36,35.8,5.0,52.2,99.5
2026-08-28T02:25:00Z,WAN1,0.35,34.4,2.3,65.6,137.0
2026-08-28T02:30:00Z,WAN1,0.36,37.8,3.4,106.8,291.8
2026-08-28T02:35:00Z,WAN1,0.26,36.4,5.6,119.2,288.9
2026-08-28T02:40:00Z,WAN1,0.07,32.6,3.4,75.6,46.4
2026-08-28T02:45:00Z,WAN1,0.23,40.5,4.0,115.6,275.1
2026-08-28T02:50:00Z,WAN1,0.35,40.8,1.8,116.3,196.7
2026-08-28T02:55:00Z,WAN1,0.21,35.1,4.8,23.6,205.5
2026-08-28T03:00:00Z,WAN1,0.19,32.7,4.9,41.9,104.5
2026-08-28T03:05:00Z,WAN1,0.07,39.4,2.8,71.2,50.7
2026-08-28T03:10:00Z,WAN1,0.21,41.9,2.5,94.7,195.2
2026-08-28T03:15:00Z,WAN1,0.25,35.8,2.6,81.6,55.9
2026-08-28T03:20:00Z,WAN1,0.32,37.4,5.9,92.6,111.7
2026-08-28T03:25:00Z,WAN1,0.21,43.4,2.7,58.0,57.1
2026-08-28T03:30:00Z,WAN1,0.3,35.8,3.9,119.6,192.9
2026-08-28T03:35:00Z,WAN1,0.01,34.1,5.2,96.9,144.2
2026-08-28T03:40:00Z,WAN1,0.05,37.9,3.2,115.5,176.9
2026-08-28T03:45:00Z,WAN1,0.02,30.8,1.8,108.5,204.0
2026-08-28T03:50:00Z,WAN1,0.37,32.8,4.3,108.8,132.3
2026-08-28T03:55:00Z,WAN1,0.21,32.1,2.1,30.7,215.7
2026-08-28T04:00:00Z,WAN1,0.25,31.8,4.0,30.0,57.9
2026-08-28T04:05:00Z,WAN1,0.35,43.4,4.5,79.8,156.7
2026-08-28T04:10:00Z,WAN1,0.39,34.2,2.5,40.7,228.0
2026-08-28T04:15:00Z,WAN1,0.1,34.2,4.9,36.4,131.4
2026-08-28T04:20:00Z,WAN1,0.08,31.7,4.8,112.7,288.7
2026-08-28T04:25:00Z,WAN1,0.36,39.8,1.0,98.1,187.8
2026-08-28T04:30:00Z,WAN1,0.2,31.8,4.0,38.9,215.8
2026-08-28T04:35:00Z,WAN1,0.35,42.5,1.6,86.0,48.9
2026-08-28T04:40:00Z,WAN1,0.01,43.5,3.5,105.6,220.3
2026-08-28T04:45:00Z,WAN1,0.1,34.0,2.2,25.3,190.8
2026-08-28T04:50:00Z,WAN1,0.25,43.9,2.9,30.0,279.9
2026-08-28T04:55:00Z,WAN1,0.3,44.6,5.6,82.6,177.0
2026-08-28T05:00:00Z,WAN1,0.39,42.5,5.2,103.6,81.3
2026-08-28T05:05:00Z,WAN1,0.25,37.9,4.4,108.4,259.5
2026-08-28T05:10:00Z,WAN1,0.06,42.3,3.7,72.7,223.4
2026-08-28T05:15:00Z,WAN1,0.13,34.3,3.5,75.6,231.3
2026-08-28T05:20:00Z,WAN1,0.2,31.9,5.8,87.4,299.1
2026-08-28T05:25:00Z,WAN1,0.37,36.8,5.6,30.1,259.2
2026-08-28T05:30:00Z,WAN1,0.22,40.2,3.0,81.7,139.7
2026-08-28T05:35:00Z,WAN1,0.32,44.3,3.6,87.1,299.6
2026-08-28T05:40:00Z,WAN1,0.14,33.8,4.4,73.0,93.8
2026-08-28T05:45:00Z,WAN1,0.33,43.6,1.0,31.5,254.6
2026-08-28T05:50:00Z,WAN1,0.27,40.2,6.0,33.9,257.7
2026-08-28T05:55:00Z,WAN1,0.3,35.1,4.5,75.8,266.9
2026-08-28T06:00:00Z,WAN1,0.3,34.6,4.5,107.4,71.9
2026-08-28T06:05:00Z,WAN1,0.2,44.8,1.3,31.2,95.2
2026-08-28T06:10:00Z,WAN1,0.39,35.6,3.7,78.2,287.1
2026-08-28T06:15:00Z,WAN1,0.12,40.7,2.4,79.4,148.8
2026-08-28T06:20:00Z,WAN1,0.17,42.0,4.5,78.2,176.8
2026-08-28T06:25:00Z,WAN1,0.34,34.8,4.0,36.6,288.1
2026-08-28T06:30:00Z,WAN1,0.27,42.9,4.5,105.9,192.4
2026-08-28T06:35:00Z,WAN1,0.23,30.9,2.0,31.7,144.1
2026-08-28T06:40:00Z,WAN1,0.06,41.4,5.3,95.9,246.1
2026-08-28T06:45:00Z,WAN1,0.12,33.2,4.5,26.2,249.1
2026-08-28T06:50:00Z,WAN1,0.21,34.8,4.8,42.2,115.3
2026-08-28T06:55:00Z,WAN1,0.16,34.0,2.7,62.2,197.2
2026-08-28T07:00:00Z,WAN1,0.29,35.3,4.3,94.6,100.7
